Title,Company,Category,Remote,Seniority,Bottom salary,Top salary,Must haves,Nice to haves
Senior TechLead,Datev,Architecture,0,Senior,26470,33090,"Spring Boot,Angular,Kafka,PostgreSQL,MongoDB,Maven,Jenkins,JPA,Git",
Remote Pentester - Penetration tester,LogicalTrust,Security,1,Mid,8000,14500,"web applications,Security,Linux,Cybersecurity,Cryptography,Cloud security,Operating system,mobile applications,network,OWASP","Kubernetes,Python,Windows,OSCP,Kerberos"
Konsultant EPM (FP&A),Fincorex sp. z o. o.,Finance,0,Senior,15000,25000,"BI,Excel,SQL","ERP,HFM"
Software Developer,NetworkedAssets,Backend,0,Mid,12000,22000,"JVM,Functional programming,Communication skills,Kotlin","Scala,Java,Arrow,Cats,Akka,AWS,IaC,Terraform,Haskell,ZIO"
QA Engineer,Bamboo Health Sp. z o.o.,Testing,1,Mid,12700,16600,"Java,Selenium,QA,Test strategy,Software Development Life Cycle,Jenkins,Linux,Communication skills,Manual tests,Automated testing,SQL,Docker,Kubernetes","AWS,REST API,Jira"
Senior Sotfware Engineer - Drivers (C++),Snowflake,Backend,0,Senior,30000,60000,"C++,SQL,RDBMS","REST API,RPC,GraphQL,Java,Node.js,Go"
Senior Analityk Biznesowo-Systemowy,apreel Sp. z o.o.,Business Intelligence,0,Senior,26880,28560,"SQL,PL/SQL,Oracle,UML,BPMN,Enterprise Architect,ERP","Java,ISTQB"
Senior Data Engineer,Link Group,Data,0,Senior,27000,32000,"Python,Scala,Java,Spark,PySpark,Kubernetes","MLOps,DevOps"
Kotlin & Java Software Engineer,hyperexponential,Backend,0,Mid,20000,25000,"Java,Kotlin","AWS,Cloud,Hibernate,Spring,Spring Framework"
Senior Big Data Engineer (Scala/Python) - Data&AI,Allegro,Data,0,Senior,18400,25410,"Scala,Python,Java,Spark,GCP,Azure,AWS,Clean Code,TDD,CI/CD,Unix,Linux",
Specjalista ds. rozwoju systemów UTM,Polska Agencja Żeglugi Powietrznej,Product Management,0,Mid,7000,10000,"Lotnictwo,Informatyka,Zarządzanie projektami,BPS,Loty BSP,Przepisy lotnicze,U-space,Umiejętność pracy projektowej","Uprawnienia do wykonywania lotów,(STS/NSTS),Java,Elektronika BSP,Licencja PPL,Uprawnienia lotnicze,Komunikacja,Media społecznościowe"
Principal Software Engineer (Java / Kotlin/ AAOSP),HERE Technologies,Backend,1,Expert,33600,42000,"Java,Kotlin,Android","Problem solving,AWS,ECS,AWS ECS,AWS EC2,AWS S3,Amazon RDS,Virtualization,Docker,Python,C++,AOSP"
Engineering Architect (JS + Java + iOS / Android),1dea,Data,1,Mid,,,"Android,iOS,MVC,MVVM,Web development,Angular,Java,C++,Python,PHP","Data modeling,CI,CD,Jenkins,Puppet,Ansible,Terraform,Project management,SAFe"
Backend Engineer (Java/Kotlin/AWS),Capco Poland,Backend,1,Senior,30240,31920,"Kotlin,Java,Terraform,AWS,Git,Continuous integration,Degree,Infrastructure as a Code,Communication skills",Python
Engineering Manager,AVENGA,Product Management,1,Expert,28560,36960,"Management,Engineering,Microservices,Java,Kafka,Docker,Kubernetes,AWS",
Senior Data Engineer (Flink),GetInData | Part of Xebia,Data,1,Senior,26880,33600,"Flink,Java,Airflow,Kafka,Spark,Cloud",
Software Engineer (REMOTE),ZaWin (Martin Engineering AG),Backend,1,Senior,20019,24468,"Azure,Windows,Office 365,Infrastructure as Code,Intune,Microsoft Azure,Azure AD,.NET","Blazor,React,HTML,CSS,JS"
Software Architect/ Angular,apreel Sp. z o.o.,Frontend,0,Senior,28560,31920,"Angular,HTML5,CSS,JavaScript,TypeScript,RxJS,REST API,Jenkins,Jira,Bitbucket,Confluence","Java,Spring,Spring Boot,Hibernate"
Automation Tester JavaScript - B2B 3 months,VML Enterprise Solutions,Testing,1,Mid,11000,15000,"Communication skills,web applications testing,Team player,Cypress,Protractor,BDD,Oracle,DB2,JavaScript,DB Visualiser,Unix,Jira,GCP,AWS,GitHub,Bitbucket",
Spark (Scala or Java) Developer,ComScore (via CC),Data,1,Mid,10000,16000,"Spark,Java,Scala,Linux","AWS,Hadoop"
